transaction_id,shipment_id,payment_date,revenue_usd,cost_usd,payment_method,payment_status,profit_usd
TX000001,SHP025710,23:27.1,799.4879875,1614.66753,Credit Card,Completed,-815.18
TX000002,SHP031504,51:31.0,1093.472696,388.9991626,Bank Transfer,Completed,704.47
TX000003,SHP049480,20:21.9,863.2142448,1809.736825,Cash,Completed,-946.52
TX000004,SHP070987,14:13.5,1108.090468,384.4007222,Cash,Completed,723.69
TX000005,SHP052552,12:17.3,2132.083779,1067.276194,Cash,Completed,1064.81
TX000006,SHP026303,23:30.8,1888.657279,1150.972643,Cash,Completed,737.68
TX000007,SHP071980,23:06.0,106.2437054,188.3721235,Bank Transfer,Failed,-82.13
TX000008,SHP068220,09:31.9,108.0927461,63.90577559,Bank Transfer,Completed,44.19
TX000009,SHP075115,36:54.1,2599.132845,457.5599597,Bank Transfer,Completed,2141.57
TX000010,SHP070392,12:03.6,1733.551795,697.321332,Bank Transfer,Completed,1036.23
TX000011,SHP082741,38:01.2,1166.900364,1103.058956,Bank Transfer,Completed,63.84
TX000012,SHP004321,17:45.9,1603.110279,86.69135474,Cash,Completed,1516.42
TX000013,SHP069975,53:07.9,568.6544515,349.7947091,Bank Transfer,Completed,218.86
TX000014,SHP070601,38:37.0,120.6719282,75.54996843,Bank Transfer,Failed,45.12
TX000015,SHP039028,02:17.3,2027.134512,842.8111943,Cash,Completed,1184.32
TX000016,SHP050666,27:21.7,861.0746151,1043.60949,Bank Transfer,Pending,-182.53
TX000017,SHP086761,20:16.7,2917.541962,1546.614721,Bank Transfer,Completed,1370.93
TX000018,SHP061593,14:16.2,2275.431282,1005.325393,Cash,Completed,1270.11
TX000019,SHP054796,05:22.0,1138.948227,1307.164843,Bank Transfer,Completed,-168.22
TX000020,SHP021938,38:52.9,2917.866664,1783.822425,Bank Transfer,Completed,1134.04
TX000021,SHP099288,12:32.8,1524.388617,1267.996086,Bank Transfer,Completed,256.39
TX000022,SHP042845,09:07.6,475.7314935,299.8493485,Bank Transfer,Completed,175.88
TX000023,SHP002330,40:14.2,2435.452847,515.0213496,Bank Transfer,Completed,1920.43
TX000024,SHP000255,05:22.3,2262.385323,1453.987413,Bank Transfer,Pending,808.4
TX000025,SHP047084,40:00.2,644.3930759,1524.171891,Bank Transfer,Completed,-879.78
TX000026,SHP033561,10:14.1,1351.251535,131.6383386,Bank Transfer,Completed,1219.61
TX000027,SHP054400,44:08.2,2459.695614,1157.598053,Bank Transfer,Completed,1302.1
