customer_id,region,customer_type,total_orders,avg_delivery_time,satisfaction_score
CUS00001,HN,Retail,116,5.638931632,2.516495941
CUS00002,HCM,Retail,95,4.706980009,3.890180171
CUS00003,HCM,Retail,173,3.678357513,4.506237503
CUS00004,HCM,Retail,29,4.427610586,3.286224299
CUS00005,HCM,Retail,79,2.624236789,4.81937881
CUS00006,CT,Retail,177,3.367775547,4.992047986
CUS00007,HN,Retail,24,4.944724866,3.873157251
CUS00008,HP,B2B,149,4.249576537,3.82810278
CUS00009,HP,Retail,113,3.257091248,4.137973287
CUS00010,DN,B2B,23,3.449191622,3.915846995
CUS00011,HP,Retail,95,5.239131,2.901139873
CUS00012,HN,Retail,156,4.163532012,3.177772193
CUS00013,HP,Retail,160,2.955024162,3.004471953
CUS00014,CT,B2B,150,3.187251675,2.680313581
CUS00015,HP,Retail,190,3.871534045,2.850972861
CUS00016,HCM,B2B,67,5.051350271,4.930818058
CUS00017,HCM,Retail,118,5.989761715,3.887450688
CUS00018,HCM,Retail,73,2.743041878,2.81475859
CUS00019,HCM,Retail,6,5.01971609,4.282738126
CUS00020,CT,Retail,65,4.468878064,3.691969779
CUS00021,CT,Retail,22,4.124772067,3.061677997
CUS00022,CT,Retail,179,5.865828211,4.858925928
CUS00023,HP,Retail,196,3.291014199,3.061357896
CUS00024,HCM,Retail,109,2.707912973,2.743974439
CUS00025,DN,Retail,116,5.510388631,3.014431947
CUS00026,DN,Retail,185,2.274755695,4.779820829
CUS00027,HCM,Retail,55,5.268478698,4.644489514
CUS00028,HN,Retail,170,4.356943972,4.735811558
CUS00029,HP,Retail,180,2.656015567,4.790447319
CUS00030,DN,B2B,189,2.909448633,2.693746681
CUS00031,CT,Retail,19,2.623362371,4.278330215
CUS00032,HN,B2B,108,4.873354167,4.161303064
CUS00033,CT,Retail,129,2.589244631,4.982270947
CUS00034,HN,Retail,169,4.7254835,4.286685552
CUS00035,HN,Retail,191,2.512601181,4.480078529
CUS00036,HP,Retail,48,5.209066359,4.287466197
CUS00037,CT,Retail,160,5.677963117,4.05145447
CUS00038,CT,Retail,178,4.237248113,3.882558551
CUS00039,DN,Retail,142,5.864736149,4.923151069
CUS00040,HCM,Retail,17,3.561521212,4.840855139
CUS00041,HCM,Retail,96,2.978409822,3.59462541
CUS00042,DN,Retail,30,2.709187024,3.210384687
CUS00043,HN,Retail,121,3.91585339,3.772673399
CUS00044,DN,B2B,111,2.522987607,4.365286472
CUS00045,DN,Retail,179,5.503162514,3.502369299
CUS00046,CT,Retail,98,5.13906207,3.843077375
CUS00047,DN,B2B,190,4.248473617,3.246764775
CUS00048,HN,Retail,152,4.88585188,3.569260921
CUS00049,HCM,Retail,120,2.199961212,4.893238497
CUS00050,HP,Retail,191,2.814071154,3.037145923
CUS00051,DN,Retail,142,4.484847571,4.97183608
CUS00052,DN,Retail,34,3.909878047,3.038849708
CUS00053,CT,Retail,187,4.41849192,3.298089955
CUS00054,CT,Retail,111,2.355876171,2.717912456
CUS00055,DN,Retail,193,4.609690232,4.380238722
CUS00056,DN,Retail,86,5.214465028,2.544086214
CUS00057,HN,Retail,161,4.185100732,4.469602258
CUS00058,HCM,B2B,108,3.429628075,3.942833201
CUS00059,HCM,B2B,118,2.698591428,4.371917818
CUS00060,HP,Retail,111,3.061420184,4.45780116
CUS00061,HCM,B2B,58,4.090131416,2.810955619
CUS00062,HP,Retail,18,3.022071318,2.553478384
CUS00063,CT,Retail,111,5.11178215,2.921916205
CUS00064,HP,Retail,103,2.526964104,3.460168866
CUS00065,HP,Retail,140,4.065697064,2.683291105
CUS00066,HCM,Retail,194,3.983864725,3.641848927
CUS00067,DN,Retail,130,2.555569053,3.212723433
CUS00068,CT,Retail,198,5.979950323,3.40958744
CUS00069,HN,Retail,28,5.29254155,4.850918539
CUS00070,HP,Retail,120,3.546129861,4.310676805
CUS00071,HP,B2B,123,4.739626156,4.145399969
CUS00072,HP,B2B,42,4.866324798,4.133913006
CUS00073,DN,Retail,3,4.604594271,3.888452478
CUS00074,HN,Retail,176,3.729935785,3.782451089
CUS00075,HCM,Retail,87,5.540445327,4.705381382
CUS00076,CT,B2B,141,5.086205527,2.687504819
CUS00077,DN,Retail,57,4.168079817,3.221300026
