vehicle_id,vehicle_type,driver_id,fuel_efficiency,maintenance_cost
V0001,Van,D00001,10.13652672,387.5378337
V0002,Van,D00002,11.94541974,142.0030968
V0003,Van,D00003,5.554839421,359.4222954
V0004,Motorbike,D00004,7.845406103,207.1692076
V0005,Motorbike,D00005,13.19230577,280.3224923
V0006,Van,D00006,5.798936878,470.2401679
V0007,Motorbike,D00007,13.55485955,66.80823567
V0008,Van,D00008,5.918960921,275.1190284
V0009,Van,D00009,13.34454215,434.4903321
V0010,Truck,D00010,8.607884011,314.5884118
V0011,Van,D00011,11.12209063,174.5917326
V0012,Truck,D00012,6.528871156,228.9565108
V0013,Motorbike,D00013,5.661687217,356.1195329
V0014,Van,D00014,7.15938204,450.8653524
V0015,Motorbike,D00015,6.278538179,68.47986819
V0016,Van,D00016,8.124058977,82.19246985
V0017,Van,D00017,10.14383247,196.2731856
V0018,Van,D00018,10.88759464,154.750858
V0019,Truck,D00019,12.89868107,169.2188988
V0020,Van,D00020,11.56239893,149.5714994
V0021,Truck,D00021,11.08758325,138.121272
V0022,Van,D00022,9.117820275,108.7807851
V0023,Van,D00023,9.73808435,470.2793593
V0024,Motorbike,D00024,9.145208294,114.8852588
V0025,Truck,D00025,13.4216603,141.9816986
V0026,Truck,D00026,7.300004525,160.8195758
V0027,Van,D00027,5.057209315,469.8566929
V0028,Motorbike,D00028,11.51319897,390.0713601
V0029,Motorbike,D00029,7.024621836,405.3647436
V0030,Van,D00030,13.90115136,97.14121679
V0031,Van,D00031,13.5904633,426.3394438
V0032,Truck,D00032,5.767273719,233.6868868
V0033,Motorbike,D00033,6.063884054,168.2703618
V0034,Van,D00034,9.951715922,309.0875376
V0035,Truck,D00035,11.09222663,419.9823076
V0036,Van,D00036,7.749083375,400.393468
V0037,Truck,D00037,12.16797717,450.4988672
V0038,Motorbike,D00038,10.94916021,467.6594837
V0039,Truck,D00039,8.248241097,157.1549321
V0040,Van,D00040,5.25371488,240.7360524
V0041,Truck,D00041,12.50150281,56.58284264
V0042,Motorbike,D00042,7.147536658,445.6947467
V0043,Motorbike,D00043,13.34473743,119.5574682
V0044,Van,D00044,9.202902601,437.6636656
V0045,Van,D00045,10.77077443,198.2242949
V0046,Motorbike,D00046,13.7294873,215.6601155
V0047,Truck,D00047,13.63623001,67.60951452
V0048,Van,D00048,8.715195752,197.0954554
V0049,Truck,D00049,7.088888927,449.7636573
V0050,Motorbike,D00050,12.75146078,61.4963305
V0051,Van,D00051,9.330802036,232.8473629
V0052,Motorbike,D00052,6.920419936,64.12983342
V0053,Van,D00053,14.04425342,216.9155413
V0054,Truck,D00054,6.981041942,127.6882884
V0055,Truck,D00055,5.258071682,163.498277
V0056,Truck,D00056,5.202799738,444.9192679
V0057,Van,D00057,11.22315356,246.2221493
V0058,Truck,D00058,11.61675061,173.2090961
V0059,Truck,D00059,8.110417051,315.2022701
V0060,Motorbike,D00060,8.200109892,113.9481319
V0061,Motorbike,D00061,8.394939151,166.7262233
V0062,Van,D00062,11.80158547,295.8115854
V0063,Van,D00063,5.58133791,156.8853688
V0064,Truck,D00064,14.29116353,355.6074818
V0065,Van,D00065,7.225210442,271.171086
V0066,Motorbike,D00066,14.99673205,397.3950816
V0067,Truck,D00067,6.715226938,476.7100411
V0068,Truck,D00068,12.71546457,102.1122002
V0069,Motorbike,D00069,7.234125449,200.5992545
V0070,Van,D00070,5.808468016,193.7970783
V0071,Truck,D00071,13.74933324,118.0323137
V0072,Van,D00072,13.58751259,414.6364118
V0073,Van,D00073,9.035703924,391.9454168
V0074,Van,D00074,12.02396143,267.9914619
V0075,Motorbike,D00075,10.57065933,291.99685
V0076,Motorbike,D00076,13.52956114,76.7948621
V0077,Van,D00077,8.150559693,299.9783085
V0078,Motorbike,D00078,10.236724,406.1036858
V0079,Van,D00079,9.853723712,308.2224081
V0080,Motorbike,D00080,8.539058263,169.3878666
V0081,Van,D00081,13.91455065,350.3967226
V0082,Motorbike,D00082,6.658779247,212.6697935
V0083,Motorbike,D00083,6.495086395,295.1929779
V0084,Truck,D00084,10.76909535,269.4044135
V0085,Motorbike,D00085,11.5749423,221.5287504
V0086,Motorbike,D00086,6.946192543,373.4950912
V0087,Motorbike,D00087,8.907174423,447.7442504
V0088,Truck,D00088,14.46563843,52.34563331
V0089,Motorbike,D00089,7.466174227,470.1274337
V0090,Motorbike,D00090,11.68360702,280.1818112
V0091,Truck,D00091,12.40149394,365.3293462
V0092,Motorbike,D00092,9.481286995,435.0310548
V0093,Truck,D00093,14.37525987,260.1966615
V0094,Truck,D00094,12.36656735,425.738333
V0095,Van,D00095,9.579245799,129.9289188
V0096,Van,D00096,10.69335202,121.6253905
V0097,Van,D00097,11.92613443,345.862116
V0098,Truck,D00098,10.9219018,441.5643525
V0099,Motorbike,D00099,13.78697584,451.5917799
V0100,Truck,D00100,8.568886623,339.6832063
V0101,Truck,D00101,7.998857401,286.4701536
V0102,Truck,D00102,7.138388895,199.1268895
V0103,Van,D00103,5.377829681,491.000187
V0104,Motorbike,D00104,5.430139644,193.863059
V0105,Van,D00105,13.70055193,384.8837483
V0106,Motorbike,D00106,11.78393146,289.39181
V0107,Truck,D00107,11.60532415,323.8305541
V0108,Van,D00108,11.14642819,227.0662478
V0109,Van,D00109,13.49219145,484.1704065
V0110,Van,D00110,9.802669257,307.2570467
V0111,Truck,D00111,13.70410829,472.0044337
V0112,Van,D00112,8.594450262,53.41613728
V0113,Van,D00113,14.26707504,307.7017624
V0114,Motorbike,D00114,11.9865698,372.7341004
V0115,Van,D00115,7.57177136,385.286077
V0116,Truck,D00116,10.64084922,457.2395968
V0117,Van,D00117,10.33030561,51.98072405
V0118,Truck,D00118,6.378988217,50.14857167
V0119,Motorbike,D00119,10.91242906,262.5185574
V0120,Van,D00120,8.147856237,63.18216725
V0121,Truck,D00121,5.523487668,488.5396491
V0122,Motorbike,D00122,14.48656158,149.9293285
V0123,Van,D00123,11.41490369,262.6991282
V0124,Truck,D00124,13.76918932,77.51193351
V0125,Van,D00125,11.76056005,284.9217873
V0126,Truck,D00126,8.569836921,220.9802563
V0127,Motorbike,D00127,10.12688072,70.09701299
V0128,Motorbike,D00128,11.7574676,200.80592
V0129,Motorbike,D00129,14.60252325,226.1462091
V0130,Van,D00130,7.536694591,495.4646711
V0131,Van,D00131,13.74977059,143.5486424
V0132,Motorbike,D00132,14.24077805,295.1508269
V0133,Truck,D00133,11.70415515,494.2919971
V0134,Van,D00134,14.31266627,406.4086436
V0135,Van,D00135,8.978785875,497.0153754
V0136,Truck,D00136,14.53016176,485.7342416
V0137,Van,D00137,12.02782877,270.2927939
V0138,Motorbike,D00138,5.420057674,363.3691324
V0139,Motorbike,D00139,14.06872832,99.69940712
V0140,Truck,D00140,9.84472809,248.5169713
V0141,Truck,D00141,9.603269848,414.058344
V0142,Truck,D00142,10.66466606,277.4008944
V0143,Motorbike,D00143,6.493845468,366.2145648
V0144,Truck,D00144,9.691660486,385.5880985
