order_id,customer_id,warehouse_id,order_date,status,total_value_usd,expected_delivery,actual_delivery
ORD000001,CUS02050,W039,0:19:56,Pending,215.2594924,0:07:30,0:33:21
ORD000002,CUS05424,W011,0:58:31,Shipped,1953.629196,0:53:32,0:20:26
ORD000003,CUS04549,W024,0:45:12,Shipped,1931.336804,0:55:37,0:44:09
ORD000004,CUS03109,W035,0:51:02,Cancelled,1965.458227,0:54:26,0:58:19
ORD000005,CUS07159,W050,0:46:46,Shipped,431.3109269,0:38:31,0:53:14
ORD000006,CUS07401,W025,0:21:47,Delivered,642.434005,0:33:59,0:32:59
ORD000007,CUS03171,W028,0:38:27,Shipped,1970.637518,0:39:52,0:35:41
ORD000008,CUS09875,W012,0:40:40,Pending,1334.073905,0:04:45,0:19:04
ORD000009,CUS02256,W023,0:10:35,Shipped,773.9933142,0:21:05,0:16:58
ORD000010,CUS01155,W017,0:40:14,Shipped,1224.674138,0:54:28,0:09:18
ORD000011,CUS04500,W041,0:13:52,Shipped,1748.716362,0:40:35,0:39:13
ORD000012,CUS06296,W037,0:17:39,Processing,1453.826625,0:12:59,0:44:00
ORD000013,CUS06198,W018,0:21:59,Shipped,634.5160906,0:47:13,0:53:31
ORD000014,CUS09889,W009,0:05:42,Shipped,262.1425096,0:03:32,0:49:15
ORD000015,CUS01649,W045,0:11:36,Processing,1269.390429,0:52:36,0:25:03
ORD000016,CUS05540,W035,0:01:39,Delivered,104.5986786,0:42:51,0:13:26
ORD000017,CUS09638,W036,0:35:16,Shipped,120.4065872,0:39:47,0:56:13
ORD000018,CUS04200,W018,0:16:01,Shipped,924.7406056,0:59:25,0:49:18
ORD000019,CUS08446,W020,0:48:48,Pending,1473.366858,0:20:54,0:09:17
ORD000020,CUS02558,W021,0:02:18,Delivered,734.52386,0:58:38,0:39:06
ORD000021,CUS05593,W047,0:46:48,Delivered,68.44280678,0:33:06,0:25:30
ORD000022,CUS00099,W020,0:15:12,Delivered,1954.070765,0:12:45,0:33:35
ORD000023,CUS02201,W006,0:15:57,Delivered,606.8435858,0:37:21,0:34:51
ORD000024,CUS02962,W009,0:08:53,Processing,1677.261534,0:19:06,0:44:25
ORD000025,CUS04974,W043,0:33:50,Processing,1229.27692,0:03:43,0:02:54
